campaign_id,environment,primitive,seed,train_steps,horizon,baseline_psnr,candidate_psnr,delta_psnr,baseline_ssim,candidate_ssim,delta_ssim,baseline_masked_mse,candidate_masked_mse,delta_masked_mse
acwm-autoloop-screen-reacher-latent_motion_prior-s862-t512-r1,reacher,latent_motion_prior,862,512,16,30.656355112987136,33.05506935336355,2.398714240376414,0.9833876006305218,0.9877435602247715,0.004355959594249725,0.015626318752765656,0.009006093256175518,-0.0066202254965901375
acwm-autoloop-screen-reacher-latent_motion_prior-s862-t512-r1,reacher,latent_motion_prior,862,512,32,29.792608290827395,32.275085351196545,2.482477060369149,0.9804675821214914,0.9873459301888943,0.00687834806740284,0.019138233736157417,0.010956433601677418,-0.00818180013448
acwm-autoloop-screen-reacher-latent_motion_prior-s966-t512-r1,reacher,latent_motion_prior,966,512,16,30.656355112987136,31.47197107839674,0.8156159654096058,0.9833876006305218,0.9843773581087589,0.000989757478237152,0.015626318752765656,0.013562086038291454,-0.002064232714474201
acwm-autoloop-screen-reacher-latent_motion_prior-s966-t512-r1,reacher,latent_motion_prior,966,512,32,29.792608290827395,31.406649543589253,1.614041252761858,0.9804675821214914,0.9849583730101585,0.004490790888667107,0.019138233736157417,0.013952216133475304,-0.005186017602682114
acwm-autoloop-screen-reacher-motion_region_reweight-s2816-t512-r1,reacher,motion_region_reweight,2816,512,16,30.656355112987136,32.47535931367065,1.8190042006835156,0.9833876006305218,0.9856616407632828,0.0022740401327610016,0.015626318752765656,0.01053518708795309,-0.005091131664812565
acwm-autoloop-screen-reacher-motion_region_reweight-s2816-t512-r1,reacher,motion_region_reweight,2816,512,32,29.792608290827395,32.571988940073695,2.779380649246299,0.9804675821214914,0.9864634554833174,0.005995873361825943,0.019138233736157417,0.010679083876311779,-0.008459149859845638
acwm-autoloop-screen-reacher-motion_region_reweight-s2820-t512-r1,reacher,motion_region_reweight,2820,512,16,30.656355112987136,33.160782810021054,2.5044276970339183,0.9833876006305218,0.9878795333206654,0.004491932690143585,0.015626318752765656,0.00848239753395319,-0.007143921218812466
acwm-autoloop-screen-reacher-motion_region_reweight-s2820-t512-r1,reacher,motion_region_reweight,2820,512,32,29.792608290827395,32.30642677743015,2.5138184866027515,0.9804675821214914,0.9870103243738413,0.0065427422523498535,0.019138233736157417,0.01080058142542839,-0.008337652310729027
acwm-autoloop-screen-reacher-motion_region_reweight-s2824-t512-r1,reacher,motion_region_reweight,2824,512,16,30.656355112987136,31.9669192254262,1.3105641124390637,0.9833876006305218,0.9859860576689243,0.0025984570384025574,0.015626318752765656,0.011982062831521034,-0.0036442559212446213
acwm-autoloop-screen-reacher-motion_region_reweight-s2824-t512-r1,reacher,motion_region_reweight,2824,512,32,29.792608290827395,31.38951734120404,1.5969090503766452,0.9804675821214914,0.9851791486144066,0.0047115664929151535,0.019138233736157417,0.014370672404766083,-0.0047675613313913345
acwm-autoloop-screen-reacher-motion_region_reweight-s2824-t512-r1-retry2,reacher,motion_region_reweight,2824,512,16,30.656355112987136,33.464337113134384,2.8079820001472484,0.9833876006305218,0.9884017147123814,0.005014114081859589,0.015626318752765656,0.007811382412910461,-0.007814936339855194
acwm-autoloop-screen-reacher-motion_region_reweight-s2824-t512-r1-retry2,reacher,motion_region_reweight,2824,512,32,29.792608290827395,32.62383501074182,2.831226719914426,0.9804675821214914,0.9881100263446569,0.007642444223165512,0.019138233736157417,0.009928133338689804,-0.009210100397467613
